Stage output, depth (m).

Stage information (stage,x,y,elev):
1 4.515000 1.197000 0.123626
2 4.515000 1.701000 0.132697
3 4.515000 2.191000 0.129459

Output, depths:
Time; stages 1 to 3
15.500634 0.023892 0.016267 0.021550
15.600955 0.024834 0.017061 0.023119
15.701386 0.025602 0.017715 0.024593
15.801839 0.026216 0.018258 0.025972
15.902291 0.026734 0.018729 0.027212
16.002686 0.027189 0.019156 0.028274
16.102879 0.027587 0.019556 0.029181
16.202879 0.027925 0.019940 0.030363
16.302708 0.028204 0.020304 0.033060
16.402382 0.028430 0.020636 0.035717
16.501909 0.028604 0.020926 0.036484
16.601288 0.028726 0.021177 0.036539
16.700518 0.028796 0.021449 0.037161
16.805418 0.028810 0.024189 0.046125
16.904322 0.028765 0.036527 0.050395
17.003054 0.028662 0.043854 0.050093
17.101610 0.028508 0.043449 0.049727
17.205778 0.028302 0.042373 0.049600
17.303993 0.028075 0.041256 0.049535
17.402067 0.027872 0.040330 0.049345
17.500013 0.034010 0.039651 0.048955
17.603613 0.046738 0.039076 0.048283
17.701376 0.046210 0.038492 0.047380
17.804817 0.045008 0.037746 0.046177
17.902447 0.044040 0.036963 0.044869
18.000008 0.043272 0.036184 0.043483
18.103226 0.042600 0.035411 0.042023
18.200624 0.042009 0.034725 0.040701
18.303638 0.041454 0.034013 0.039379
18.400820 0.041642 0.033321 0.038204
18.503605 0.044574 0.032547 0.037030
18.600592 0.047112 0.031777 0.035984
18.703205 0.047419 0.030926 0.034948
18.800068 0.047103 0.030088 0.034045
18.902586 0.046634 0.029155 0.033177
19.005091 0.046096 0.028177 0.032388
19.101894 0.045530 0.027245 0.031679
19.204411 0.044849 0.026466 0.030927
19.301231 0.044110 0.026871 0.030192
19.403778 0.043216 0.029621 0.029377
19.500629 0.042285 0.031909 0.028578
19.602608 0.041283 0.031582 0.027715
19.703688 0.040370 0.030073 0.026850
19.804029 0.039792 0.028552 0.025989
19.903769 0.040075 0.027266 0.025140
20.003048 0.040819 0.026219 0.024310
20.101933 0.040782 0.025354 0.023514
20.200325 0.040088 0.024604 0.022834
20.303293 0.039194 0.023881 0.022666
20.404865 0.038355 0.023193 0.023288
20.504675 0.037599 0.022544 0.023542
20.602772 0.036894 0.021995 0.023152
20.704544 0.036193 0.021756 0.022558
20.800291 0.035583 0.022172 0.022048
20.900482 0.035029 0.022919 0.021595
21.000353 0.034572 0.023145 0.021198
21.100042 0.034173 0.022976 0.020829
21.204943 0.033752 0.022767 0.020471
21.304754 0.033317 0.022651 0.020190
21.404453 0.032848 0.022582 0.020024
21.504026 0.032341 0.022464 0.020064
21.603466 0.031751 0.022184 0.020396
21.702801 0.031039 0.021696 0.020900
21.802097 0.030205 0.021033 0.021269
21.901474 0.029287 0.020259 0.021327
22.001175 0.028331 0.019433 0.021052
22.101452 0.027380 0.018599 0.020504
22.202372 0.026461 0.017791 0.019792
22.303717 0.025596 0.017027 0.019022
22.400040 0.024829 0.016352 0.018296
22.500000 0.024084 0.015704 0.017571
