Stage output, depth (m).

Stage information (stage,x,y,elev):
1 4.515000 1.197000 0.123591
2 4.515000 1.701000 0.132484
3 4.515000 2.191000 0.130107

Output, depths:
Time; stages 1 to 3
15.502452 0.024246 0.017988 0.021318
15.603371 0.025174 0.018466 0.022518
15.700779 0.025709 0.018756 0.023977
15.801609 0.026204 0.018771 0.025628
15.902387 0.026713 0.018888 0.027007
16.003098 0.027237 0.019113 0.028028
16.100296 0.027420 0.019390 0.028682
16.200935 0.027774 0.019665 0.029187
16.301550 0.028244 0.020444 0.037140
16.402121 0.028781 0.021644 0.036209
16.502619 0.028889 0.021511 0.035621
16.603048 0.028847 0.021237 0.035282
16.703392 0.028873 0.021503 0.046534
16.800156 0.028816 0.029107 0.049660
16.900238 0.028730 0.043513 0.049151
17.000200 0.028576 0.043145 0.048509
17.100035 0.028375 0.041932 0.048700
17.203239 0.028071 0.041195 0.049027
17.302891 0.027764 0.040925 0.048993
17.402477 0.027471 0.040861 0.048880
17.501982 0.047644 0.040532 0.048576
17.601398 0.045740 0.039263 0.048906
17.700762 0.045048 0.038558 0.046572
17.800158 0.044472 0.037195 0.044534
17.902941 0.044117 0.036033 0.043143
18.002241 0.043558 0.035445 0.041770
18.100006 0.042344 0.035059 0.040456
18.203112 0.041599 0.034462 0.039046
18.301666 0.040755 0.034144 0.037854
18.401119 0.039952 0.033228 0.036653
18.500521 0.038918 0.032293 0.035698
18.603266 0.047820 0.031730 0.034810
18.702505 0.047821 0.031042 0.034043
18.801691 0.047293 0.030289 0.033232
18.900867 0.046833 0.029358 0.032759
19.002661 0.046110 0.028021 0.031990
19.101734 0.044931 0.026668 0.031070
19.200790 0.043614 0.025688 0.030288
19.302120 0.043511 0.024533 0.029391
19.401810 0.043249 0.031158 0.028466
19.503071 0.041612 0.032124 0.027688
19.603106 0.040358 0.030626 0.026613
19.702419 0.039443 0.028858 0.025690
19.802406 0.038743 0.027093 0.024881
19.901552 0.042735 0.026207 0.024154
20.001263 0.041530 0.025783 0.023494
20.100822 0.041082 0.025303 0.022791
20.201263 0.039686 0.024534 0.022077
20.300293 0.038517 0.023557 0.021055
20.401348 0.038646 0.022576 0.022793
20.502352 0.037519 0.021711 0.023227
20.602310 0.036671 0.021024 0.023082
20.701651 0.036091 0.019869 0.022204
20.801321 0.035526 0.019472 0.021566
20.901787 0.034805 0.015820 0.021075
21.000984 0.034816 0.015806 0.020516
