Stage output, depth (m).

Stage information (stage,x,y,elev):
1 4.515000 1.197000 0.123626
2 4.515000 1.701000 0.132697
3 4.515000 2.191000 0.129459

Output, depths:
Time; stages 1 to 3
15.501011 0.024246 0.016041 0.022027
15.601336 0.025001 0.016801 0.023540
15.701808 0.025664 0.017504 0.024910
15.802305 0.026233 0.018162 0.026094
15.902820 0.026718 0.018775 0.027134
16.003292 0.027131 0.019307 0.028140
16.103575 0.027482 0.019776 0.029360
16.203674 0.027777 0.020216 0.031058
16.303606 0.028022 0.020661 0.033082
16.403383 0.028222 0.021193 0.034777
16.503012 0.028376 0.021883 0.035911
16.602489 0.028482 0.022992 0.037227
16.701811 0.028538 0.026031 0.040595
16.800976 0.028546 0.031184 0.047380
16.905796 0.028506 0.040647 0.048828
17.004620 0.028427 0.042575 0.048992
17.103277 0.028319 0.042263 0.049013
17.201777 0.028242 0.041340 0.049023
17.300125 0.028829 0.040436 0.048927
17.404118 0.033807 0.039589 0.048632
17.502214 0.044383 0.038857 0.048091
17.600212 0.045697 0.038179 0.047307
17.703884 0.045348 0.037488 0.046251
17.801718 0.044551 0.036820 0.045104
17.905231 0.043657 0.036101 0.043795
18.002924 0.042910 0.035419 0.042519
18.100542 0.042363 0.034738 0.041249
18.203808 0.042198 0.034015 0.039942
18.301237 0.042688 0.033324 0.038757
18.404285 0.044233 0.032573 0.037563
18.501509 0.046054 0.031843 0.036501
18.604357 0.047105 0.031050 0.035453
18.701412 0.047253 0.030295 0.034539
18.804115 0.046995 0.029529 0.033649
18.901072 0.046582 0.028911 0.032866
19.003700 0.046053 0.028356 0.032074
19.100618 0.045488 0.028221 0.031341
19.203238 0.044803 0.028769 0.030558
19.300175 0.044072 0.029995 0.029800
19.402828 0.043241 0.031375 0.028976
19.505482 0.042429 0.031581 0.028133
19.602463 0.041776 0.030821 0.027330
19.705177 0.041267 0.029674 0.026488
19.802237 0.040951 0.028633 0.025730
19.905064 0.040704 0.027600 0.025032
20.002140 0.040442 0.026724 0.024566
20.104338 0.040053 0.025913 0.024377
20.200092 0.039567 0.025258 0.024408
20.300446 0.038956 0.024679 0.024403
20.405180 0.038252 0.024201 0.024180
20.503397 0.037567 0.023881 0.023793
20.600971 0.036892 0.023683 0.023331
20.703220 0.036208 0.023574 0.022837
20.804934 0.035557 0.023513 0.022379
20.900820 0.034969 0.023451 0.021997
21.001511 0.034374 0.023345 0.021657
21.102060 0.033795 0.023178 0.021386
21.202244 0.033225 0.022952 0.021186
21.301893 0.032652 0.022668 0.021051
21.401136 0.032056 0.022320 0.020966
21.505182 0.031379 0.021873 0.020905
21.603630 0.030676 0.021361 0.020836
21.701866 0.029913 0.020768 0.020714
21.800003 0.029105 0.020107 0.020506
21.903399 0.028228 0.019362 0.020178
22.001993 0.027388 0.018630 0.019766
22.101109 0.026558 0.017895 0.019271
22.200598 0.025749 0.017173 0.018714
22.300209 0.024970 0.016474 0.018121
22.402922 0.024197 0.015785 0.017492
22.500000 0.023490 0.015161 0.016895
